serial_no;title;status;fund_perc;category;place;last_updated;company;websites;project_link;description
77;BondicEVO™ Liquid Plastic Welder;Ended;655%;Fabrication Tools;Toronto, Canada;September 13, 2018;Bondic®;['https://twitter.com/jimbondic', 'https://www.youtube.com/user/HowYouBondic', 'https://www.facebook.com/Bondic', 'http://www.notaglue.com/'];https://www.kickstarter.com/projects/notaglue/bondicevotm-liquid-plastic-welder;Bondic® is the worlds first liquid plastic welding tool, basically a pocket sized - battery operated - almost instant 3D printer!
78;The MicroMill - A desktop CNC milling machine.;Ended;179%;Fabrication Tools;Dorset, UK;October 2, 2017;RP3d;['http://www.rp3d.co.uk/'];https://www.kickstarter.com/projects/rp3d/the-micromill-a-desktop-cnc-milling-machine;A powerful, precise and affordable CNC milling machine for your desktop. Perfect for makers, designers, fablabs & small businesses.
79;Kniterate: The Digital Knitting Machine;Ended;636%;Fabrication Tools;London, UK;December 28, 2024;Kniterate;['http://kniterate.com/', 'https://twitter.com/Kniterate', 'https://www.instagram.com/kniterate/'];https://www.kickstarter.com/projects/kniterate/kniterate-the-digital-knitting-machine;Create a design and press knit. A compact digital knitting machine to bring fashion fabrication back to your neighborhood.
80;The Earscratcher;Ended;100%;Fabrication Tools;Lohn-Ammannsegg, Switzerland;May 5, 2017;Dominik Wyss;['http://www.ohrenkratzer.ch/'];https://www.kickstarter.com/projects/1989839131/the-earscratcher;"The earscratcher, who scratches the ear without hurting it.
The solution for all scratch-junkies out there."
81;Can your caliper do this? Precision Caliper Modification!;Ended;4520%;Fabrication Tools;Manvel, TX;January 12, 2018;Ian Hamilton;[];https://www.kickstarter.com/projects/1478806987/precision-caliper-modification;Improve the accuracy of measurements taken from concave surfaces. Titanium Now Available!
82;Vaquform: The World's First Digital Desktop Vacuum Former;Ended;355%;Fabrication Tools;Los Angeles, CA;October 26, 2018;Vaquform, Inc.;['https://vaquform.com/', 'https://facebook.com/vaquform', 'https://instagram.com/vaquform'];https://www.kickstarter.com/projects/vaquform/vaquform-the-worlds-first-digital-desktop-vacuum-f;With industrial strength and digital smarts, go beyond prototyping and start manufacturing right from your desktop.
83;TriboTEX: More HP, Better MPG, and Less Wear in Car Engines;Ended;1580%;Fabrication Tools;Seattle, WA;February 13, 2020;TriboTEX;['http://www.tribotex.com/', 'https://www.facebook.com/tribotex/', 'https://www.sbir.gov/sbirsearch/detail/399284', 'https://www.youtube.com/user/TriboTEX', 'https://instagram.com/tribotex99'];https://www.kickstarter.com/projects/tribotex/tribotex-more-engine-hp-better-mileage-less-wear-a;Boost gas mileage, increase HP, and reverse wear in your car's engine using nanoparticles developed with DoE, NASA, & NSF.  CarBoss
84;Kube OpenLathe - The open source glass blowing lathe!;Ended;117%;Fabrication Tools;Seattle, WA;December 29, 2020;Jordan Kube;['https://www.instagram.com/jordankube/', 'https://www.youtube.com/user/jordankube/videos?view=0&shelf_id=0&sort=dd'];https://www.kickstarter.com/projects/1932619845/kube-openlathe-the-open-source-glass-blowing-lathe;This project aims to bring a glassblowing lathe to every shop. Coming in at less than $2k in parts, this lathe is accessible to all!
85;Maslow CNC - a $500 open source 4 by 8 foot CNC Machine;Ended;629%;Fabrication Tools;Port Townsend, WA;July 27, 2017;Bar Smith;['http://www.maslowcnc.com/'];https://www.kickstarter.com/projects/maslow4/maslow-cnc-a-500-open-source-4-by-8-foot-cnc-machi;An open source 4 by 8 foot CNC cutting machine for under $500. A router designed to let you cut big, useful things out of wood and more
86;Cast-Right Vertical Pen Blank Casting System;Ended;470%;Fabrication Tools;Nashville, TN;December 13, 2016;Jim Pratt;[];https://www.kickstarter.com/projects/360272370/cast-right-vertical-pen-blank-casting-system;Cast-Right is a patent-pending vertical casting system for casting pen blanks vertically  all you need is your pressure pot and epoxy.
87;The EZ CYCLING SYSTEM Refreshes Your Old Water Supply;Ended;140%;Fabrication Tools;Salt Lake City, UT;November 10, 2016;Caleb Tucker;['http://www.emergencywatercorp.com/', 'https://www.linkedin.com/in/caleb-tucker-474022a?trk=nav_responsive_tab_profile', 'http://tchem.com/'];https://www.kickstarter.com/projects/1520454424/the-ez-cycling-system-refreshes-your-old-water-sup;Introducing the drum caps that connect to garden hoses to clean and cycle your old water supply.
